geoid_2010,geoid_2020,AREALAND_INT
060014012001014,060014012001014,13132
060014012001015,060014012001015,10862
060014012001016,060014012001016,8865
060014012001017,060014012001017,106588
060014012001018,060014012001018,25423
060014012001019,060014012001019,22343
060014012001020,060014012001020,7862
060014012001021,060014012001021,9508
060014012002000,060014012002001,6882
060014012002001,060014012002002,22726
060014012002002,060014012002003,20572
060014012002003,060014012002004,19269
060014012002004,060014012002005,19024
060014012002005,060014012002006,8147
060014012002006,060014012002007,7568
060014012002007,060014012002008,6841
060014012002008,060014012002009,7106
060014012002009,060014012002011,10368
060014012003000,060014012003000,1247
060014012003001,060014012003001,968
060014012003002,060014012003002,1045
060014012003003,060014012003003,1101
060014012003004,060014012003004,19712
060014012003005,060014012003005,18569
060014012003006,060014012003001,6767
060014012003007,060014012003007,19118
060014012003008,060014012003006,6136
060014012003009,060014012003009,17822
060014012003010,060014012003010,15115
060014012003011,060014012003011,1069
060014012003012,060014012003008,5435
060014012003013,060014012003014,15245
060014012003014,060014012003013,1266
060014012003015,060014012003009,775
060014012003016,060014012003012,57992
060014013001000,060014013001014,9638
060014013001001,060014013001000,2275
060014013001002,060014013001001,8491
060014013001003,060014013001002,4514
060014013001004,060014013001003,586
060014013001005,060014013001004,3429
060014013001006,060014013001007,12737
060014013001007,060014013001006,1383
060014013001008,060014013001005,43547
060014013001009,060014013001012,36676
060014013001010,060014013001011,11002
060014013001011,060014013001010,928
060014013001012,060014013001010,13483
060014013001013,060014013001007,11946
060014013001014,060014013001008,23041
060014013001015,060014013001024,6285
060014013001016,060014013001024,8942
060014013001017,060014013001008,4861
060014013001018,060014013001008,22530
060014013001019,060014013001009,15779
060014013001020,060014013001018,1170
060014013001021,060014013001017,33228
060014013001022,060014013001017,5918
060014013001023,060014013001017,6941
060014013001024,060014013001008,500
060014013001025,060014013001008,398
060014013001026,060014013001008,755
060014013001027,060014013001015,1578
060014013001028,060014013001016,11478
060014013001029,060014013001023,18618
060014013001030,060014013001022,15472
060014013001031,060014013001019,24226
060014013001032,060014013001020,32799
060014013001033,060014013001013,16818
060014013001034,060014013001025,2117
060014013001035,060014013001025,200
060014013001036,060014013001021,11395
060014013001037,060014013001026,15865
060014013002000,060014013002000,28027
060014013002001,060014013002002,6152
060014013002002,060014013002000,7030
060014013002003,060014013002003,8526
060014013002004,060014013002004,1127
060014013002005,060014013002000,877
060014013002006,060014013002008,3008
060014013002007,060014013002007,20643
060014013002008,060014013002006,3524
060014013002009,060014013002005,3529
060014013002010,060014013002012,12778
060014013002011,060014013002012,1085
060014013002012,060014013002011,7915
060014013002013,060014013002006,579
060014013002014,060014013002013,1499
060014013002015,060014013002013,15666
060014013002016,060014013002014,15698
060014013002017,060014013002014,1397
060014013002018,060014013002011,12754
060014013002019,060014013002010,10941
060014013002020,060014013002017,507
060014013002021,060014013002017,1902
060014013002022,060014013002016,362
060014013002023,060014013002016,357
060014013002024,060014013002016,9240
060014013002025,060014013002015,1476
060014013002026,060014013002015,13920
060014013003000,060014013003000,7643
