zcta,BlockCode,TechCategory,max_ad_down,max_ad_up
94501,060014273004011,Fiber to the Premises,1000.0,1000.0
94501,060014273004012,Copper (DSL/VDSL),50.0,10.0
94501,060014273004012,Fiber to the Premises,1000.0,1000.0
94501,060014273005000,Copper (DSL/VDSL),100.0,20.0
94501,060014273005002,Copper (DSL/VDSL),75.0,20.0
94501,060014273005003,Copper (DSL/VDSL),75.0,20.0
94501,060014273005004,Copper (DSL/VDSL),3.0,1.0
94501,060014273005006,Copper (DSL/VDSL),100.0,20.0
94501,060014273005010,Copper (DSL/VDSL),75.0,20.0
94501,060014273005015,Copper (DSL/VDSL),100.0,20.0
94501,060014273005015,Fiber to the Premises,1000.0,1000.0
94501,060014273005017,Copper (DSL/VDSL),100.0,20.0
94501,060014276001001,Copper (DSL/VDSL),100.0,20.0
94501,060014276001001,Fiber to the Premises,1000.0,1000.0
94501,060014276001002,Copper (DSL/VDSL),100.0,20.0
94501,060014276001003,Copper (DSL/VDSL),100.0,20.0
94501,060014276002000,Copper (DSL/VDSL),100.0,20.0
94501,060014276002000,Fiber to the Premises,1000.0,1000.0
94501,060014276002001,Copper (DSL/VDSL),50.0,10.0
94501,060014276002002,Copper (DSL/VDSL),100.0,20.0
94501,060014276002002,Fiber to the Premises,1000.0,1000.0
94501,060014276002003,Fiber to the Premises,1000.0,1000.0
94501,060014276002008,Copper (DSL/VDSL),50.0,10.0
94501,060014276002008,Fiber to the Premises,1000.0,1000.0
94501,060014276002009,Copper (DSL/VDSL),50.0,10.0
94501,060014276002009,Fiber to the Premises,1000.0,1000.0
94501,060014276002010,Copper (DSL/VDSL),100.0,20.0
94501,060014276002010,Fiber to the Premises,1000.0,1000.0
94501,060014276003001,Copper (DSL/VDSL),25.0,5.0
94501,060014276003001,Fiber to the Premises,1000.0,1000.0
94501,060014276003002,Copper (DSL/VDSL),25.0,5.0
94501,060014276003002,Fiber to the Premises,1000.0,1000.0
94501,060014276003003,Copper (DSL/VDSL),18.0,1.5
94501,060014276003003,Fiber to the Premises,1000.0,1000.0
94501,060014276003006,Copper (DSL/VDSL),25.0,5.0
94501,060014276003006,Fiber to the Premises,1000.0,1000.0
94501,060014277001000,Copper (DSL/VDSL),25.0,5.0
94501,060014277001000,Fiber to the Premises,1000.0,1000.0
94501,060014277001001,Copper (DSL/VDSL),75.0,20.0
94501,060014277001001,Fiber to the Premises,1000.0,1000.0
94501,060014277001002,Copper (DSL/VDSL),50.0,10.0
94501,060014277001002,Fiber to the Premises,1000.0,1000.0
94501,060014277001003,Copper (DSL/VDSL),100.0,20.0
94501,060014277001003,Fiber to the Premises,1000.0,1000.0
94501,060014277001005,Copper (DSL/VDSL),100.0,20.0
94501,060014277001005,Fiber to the Premises,1000.0,1000.0
94501,060014277001006,Copper (DSL/VDSL),100.0,20.0
94501,060014277001006,Fiber to the Premises,1000.0,1000.0
94501,060014277002000,Copper (DSL/VDSL),75.0,20.0
94501,060014277002000,Fiber to the Premises,1000.0,1000.0
94501,060014277002001,Copper (DSL/VDSL),75.0,20.0
94501,060014277002001,Fiber to the Premises,1000.0,1000.0
94501,060014277002003,Copper (DSL/VDSL),100.0,20.0
94501,060014277002003,Fiber to the Premises,1000.0,1000.0
94501,060014277002004,Copper (DSL/VDSL),50.0,10.0
94501,060014277002004,Fiber to the Premises,1000.0,1000.0
94501,060014277002005,Copper (DSL/VDSL),100.0,20.0
94501,060014277002005,Fiber to the Premises,1000.0,1000.0
94501,060014277002006,Copper (DSL/VDSL),75.0,20.0
94501,060014277002006,Fiber to the Premises,1000.0,1000.0
94501,060014277003000,Copper (DSL/VDSL),25.0,5.0
94501,060014277003000,Fiber to the Premises,1000.0,1000.0
94501,060014277003002,Copper (DSL/VDSL),50.0,10.0
94501,060014277003002,Fiber to the Premises,1000.0,1000.0
94501,060014277003005,Copper (DSL/VDSL),50.0,10.0
94501,060014277003005,Fiber to the Premises,1000.0,1000.0
94501,060014277003007,Copper (DSL/VDSL),25.0,5.0
94501,060014277003007,Fiber to the Premises,1000.0,1000.0
94501,060014277003008,Copper (DSL/VDSL),100.0,20.0
94501,060014277003008,Fiber to the Premises,1000.0,1000.0
94501,060014277003010,Fiber to the Premises,1000.0,1000.0
94501,060014277003012,Copper (DSL/VDSL),75.0,20.0
94501,060014277003012,Fiber to the Premises,1000.0,1000.0
94501,060014277003013,Copper (DSL/VDSL),100.0,20.0
94501,060014277003013,Fiber to the Premises,1000.0,1000.0
94501,060014277004000,Copper (DSL/VDSL),50.0,10.0
94501,060014277004000,Fiber to the Premises,1000.0,1000.0
94501,060014277004001,Copper (DSL/VDSL),50.0,10.0
94501,060014277004001,Fiber to the Premises,1000.0,1000.0
94501,060014277004002,Copper (DSL/VDSL),50.0,10.0
94501,060014277004002,Fiber to the Premises,1000.0,1000.0
94501,060014277004003,Fiber to the Premises,1000.0,1000.0
94501,060014277004004,Copper (DSL/VDSL),75.0,20.0
94501,060014277004004,Fiber to the Premises,1000.0,1000.0
94501,060014277004005,Copper (DSL/VDSL),100.0,20.0
94501,060014277004005,Fiber to the Premises,1000.0,1000.0
94501,060014277004006,Copper (DSL/VDSL),75.0,20.0
94501,060014277004006,Fiber to the Premises,1000.0,1000.0
94501,060014277004009,Copper (DSL/VDSL),50.0,10.0
94501,060014277004009,Fiber to the Premises,1000.0,1000.0
94501,060014278001000,Copper (DSL/VDSL),100.0,20.0
94501,060014278001000,Fiber to the Premises,1000.0,1000.0
94501,060014278001001,Copper (DSL/VDSL),50.0,10.0
94501,060014278001001,Fiber to the Premises,1000.0,1000.0
94501,060014278001005,Copper (DSL/VDSL),100.0,20.0
94501,060014278001005,Fiber to the Premises,1000.0,1000.0
94501,060014278001006,Copper (DSL/VDSL),100.0,20.0
94501,060014278001006,Fiber to the Premises,1000.0,1000.0
94501,060014278002000,Copper (DSL/VDSL),100.0,20.0
94501,060014278002000,Fiber to the Premises,1000.0,1000.0
94501,060014278002001,Copper (DSL/VDSL),100.0,20.0
94501,060014278002001,Fiber to the Premises,1000.0,1000.0
94501,060014278002002,Copper (DSL/VDSL),25.0,5.0
94501,060014278002002,Fiber to the Premises,1000.0,1000.0
94501,060014278002003,Copper (DSL/VDSL),50.0,10.0
94501,060014278002003,Fiber to the Premises,1000.0,1000.0
94501,060014278002004,Copper (DSL/VDSL),50.0,10.0
94501,060014278002004,Fiber to the Premises,1000.0,1000.0
94501,060014278003000,Copper (DSL/VDSL),100.0,20.0
94501,060014278003000,Fiber to the Premises,1000.0,1000.0
94501,060014278003002,Copper (DSL/VDSL),100.0,20.0
94501,060014278003002,Fiber to the Premises,1000.0,1000.0
94501,060014278003004,Copper (DSL/VDSL),100.0,20.0
94501,060014278003004,Fiber to the Premises,1000.0,1000.0
94501,060014278003005,Copper (DSL/VDSL),100.0,20.0
94501,060014278003005,Fiber to the Premises,1000.0,1000.0
94501,060014278003006,Fiber to the Premises,1000.0,1000.0
94501,060014278003008,Fiber to the Premises,1000.0,1000.0
94501,060014278004000,Copper (DSL/VDSL),50.0,10.0
94501,060014278004000,Fiber to the Premises,1000.0,1000.0
94501,060014278004002,Copper (DSL/VDSL),100.0,20.0
94501,060014278004002,Fiber to the Premises,1000.0,1000.0
94501,060014278004003,Copper (DSL/VDSL),100.0,20.0
94501,060014278004003,Fiber to the Premises,1000.0,1000.0
94501,060014278004006,Copper (DSL/VDSL),100.0,20.0
94501,060014278004006,Fiber to the Premises,1000.0,1000.0
94501,060014278004007,Copper (DSL/VDSL),50.0,10.0
94501,060014278004007,Fiber to the Premises,1000.0,1000.0
94501,060014278004009,Copper (DSL/VDSL),50.0,10.0
94501,060014278004009,Fiber to the Premises,1000.0,1000.0
94501,060014278004010,Copper (DSL/VDSL),50.0,10.0
94501,060014278004010,Fiber to the Premises,1000.0,1000.0
94501,060014278005000,Copper (DSL/VDSL),50.0,10.0
94501,060014278005000,Fiber to the Premises,1000.0,1000.0
94501,060014278005001,Copper (DSL/VDSL),100.0,20.0
94501,060014278005001,Fiber to the Premises,1000.0,1000.0
94501,060014278005002,Copper (DSL/VDSL),75.0,20.0
94501,060014278005002,Fiber to the Premises,1000.0,1000.0
94501,060014278005004,Copper (DSL/VDSL),50.0,10.0
94501,060014278005004,Fiber to the Premises,1000.0,1000.0
94501,060014278005005,Copper (DSL/VDSL),75.0,20.0
94501,060014278005005,Fiber to the Premises,1000.0,1000.0
94501,060014278005008,Copper (DSL/VDSL),100.0,20.0
94501,060014278005008,Fiber to the Premises,1000.0,1000.0
94501,060014279001000,Copper (DSL/VDSL),100.0,20.0
94501,060014279001001,Copper (DSL/VDSL),75.0,20.0
94501,060014279001001,Fiber to the Premises,1000.0,1000.0
94501,060014279001002,Copper (DSL/VDSL),50.0,10.0
94501,060014279001002,Fiber to the Premises,1000.0,1000.0
94501,060014279001006,Copper (DSL/VDSL),100.0,20.0
94501,060014279001006,Fiber to the Premises,1000.0,1000.0
94501,060014279001007,Copper (DSL/VDSL),75.0,20.0
94501,060014279001007,Fiber to the Premises,1000.0,1000.0
94501,060014279002000,Copper (DSL/VDSL),100.0,20.0
94501,060014279002000,Fiber to the Premises,1000.0,1000.0
94501,060014279002002,Copper (DSL/VDSL),50.0,10.0
94501,060014279002002,Fiber to the Premises,1000.0,1000.0
94501,060014279002003,Copper (DSL/VDSL),50.0,10.0
94501,060014279002003,Fiber to the Premises,1000.0,1000.0
94501,060014279002004,Copper (DSL/VDSL),50.0,10.0
94501,060014279002004,Fiber to the Premises,1000.0,1000.0
94501,060014279002005,Fiber to the Premises,1000.0,1000.0
94501,060014279002006,Copper (DSL/VDSL),25.0,5.0
94501,060014279002006,Fiber to the Premises,1000.0,1000.0
94501,060014279002007,Copper (DSL/VDSL),50.0,10.0
94501,060014279002007,Fiber to the Premises,1000.0,1000.0
94501,060014279002009,Fiber to the Premises,1000.0,1000.0
94501,060014279002010,Copper (DSL/VDSL),25.0,5.0
94501,060014279002010,Fiber to the Premises,1000.0,1000.0
94501,060014279002013,Copper (DSL/VDSL),50.0,10.0
94501,060014279002013,Fiber to the Premises,1000.0,1000.0
94501,060014279002014,Copper (DSL/VDSL),50.0,10.0
94501,060014279002014,Fiber to the Premises,1000.0,1000.0
94501,060014279002015,Copper (DSL/VDSL),50.0,10.0
94501,060014279002015,Fiber to the Premises,1000.0,1000.0
94501,060014279002016,Copper (DSL/VDSL),50.0,10.0
94501,060014279002016,Fiber to the Premises,1000.0,1000.0
94501,060014279002017,Copper (DSL/VDSL),50.0,10.0
94501,060014279002017,Fiber to the Premises,1000.0,1000.0
94501,060014279003000,Copper (DSL/VDSL),100.0,20.0
94501,060014279003000,Fiber to the Premises,1000.0,1000.0
94501,060014279003001,Copper (DSL/VDSL),100.0,20.0
94501,060014279003001,Fiber to the Premises,1000.0,1000.0
94501,060014279003002,Copper (DSL/VDSL),100.0,20.0
94501,060014279003002,Fiber to the Premises,1000.0,1000.0
94501,060014279003003,Copper (DSL/VDSL),50.0,10.0
94501,060014279003003,Fiber to the Premises,1000.0,1000.0
94501,060014279003007,Copper (DSL/VDSL),100.0,20.0
94501,060014279003007,Fiber to the Premises,1000.0,1000.0
94501,060014279004000,Copper (DSL/VDSL),75.0,20.0
94501,060014279004000,Fiber to the Premises,1000.0,1000.0
94501,060014279004001,Copper (DSL/VDSL),75.0,20.0
94501,060014279004001,Fiber to the Premises,1000.0,1000.0
94501,060014279004002,Copper (DSL/VDSL),75.0,20.0
94501,060014279004002,Fiber to the Premises,1000.0,1000.0
94501,060014279005000,Copper (DSL/VDSL),50.0,10.0
94501,060014279005000,Fiber to the Premises,1000.0,1000.0
94501,060014279005001,Copper (DSL/VDSL),100.0,20.0
94501,060014279005001,Fiber to the Premises,1000.0,1000.0
94501,060014279005003,Copper (DSL/VDSL),100.0,20.0
94501,060014279005003,Fiber to the Premises,1000.0,1000.0
94501,060014279005004,Copper (DSL/VDSL),100.0,20.0
94501,060014279005004,Fiber to the Premises,1000.0,1000.0
94501,060014280001001,Copper (DSL/VDSL),50.0,10.0
94501,060014280001001,Fiber to the Premises,1000.0,1000.0
94501,060014280001002,Copper (DSL/VDSL),18.0,1.5
94501,060014280001003,Copper (DSL/VDSL),18.0,1.5
94501,060014280001004,Copper (DSL/VDSL),75.0,20.0
94501,060014280001004,Fiber to the Premises,1000.0,1000.0
94501,060014280001006,Fiber to the Premises,1000.0,1000.0
94501,060014280001007,Copper (DSL/VDSL),75.0,20.0
94501,060014280001009,Copper (DSL/VDSL),100.0,20.0
94501,060014280001009,Fiber to the Premises,1000.0,1000.0
94501,060014280001010,Copper (DSL/VDSL),18.0,1.5
94501,060014280001010,Fiber to the Premises,1000.0,1000.0
94501,060014280001011,Copper (DSL/VDSL),100.0,20.0
94501,060014280002000,Copper (DSL/VDSL),100.0,20.0
94501,060014280002000,Fiber to the Premises,1000.0,1000.0
94501,060014280002002,Copper (DSL/VDSL),100.0,20.0
94501,060014280002002,Fiber to the Premises,1000.0,1000.0
94501,060014280002003,Copper (DSL/VDSL),100.0,20.0
94501,060014280002003,Fiber to the Premises,1000.0,1000.0
94501,060014280002005,Copper (DSL/VDSL),100.0,20.0
94501,060014280002005,Fiber to the Premises,1000.0,1000.0
94501,060014281001000,Copper (DSL/VDSL),50.0,10.0
94501,060014281001000,Fiber to the Premises,1000.0,1000.0
94501,060014281001001,Copper (DSL/VDSL),75.0,20.0
94501,060014281001001,Fiber to the Premises,1000.0,1000.0
94501,060014281001002,Copper (DSL/VDSL),75.0,20.0
94501,060014281001002,Fiber to the Premises,1000.0,1000.0
94501,060014281001003,Copper (DSL/VDSL),75.0,20.0
94501,060014281001003,Fiber to the Premises,1000.0,1000.0
94501,060014281001004,Copper (DSL/VDSL),50.0,10.0
94501,060014281001004,Fiber to the Premises,1000.0,1000.0
94501,060014281001005,Copper (DSL/VDSL),75.0,20.0
94501,060014281001005,Fiber to the Premises,1000.0,1000.0
94501,060014281001009,Copper (DSL/VDSL),25.0,5.0
94501,060014281001009,Fiber to the Premises,1000.0,1000.0
94501,060014281001011,Copper (DSL/VDSL),75.0,20.0
94501,060014281001011,Fiber to the Premises,1000.0,1000.0
94501,060014281001012,Copper (DSL/VDSL),50.0,10.0
94501,060014281001012,Fiber to the Premises,1000.0,1000.0
94501,060014281001016,Copper (DSL/VDSL),50.0,10.0
94501,060014281001016,Fiber to the Premises,1000.0,1000.0
94501,060014281002000,Copper (DSL/VDSL),50.0,10.0
94501,060014281002000,Fiber to the Premises,1000.0,1000.0
94501,060014281002001,Copper (DSL/VDSL),25.0,5.0
94501,060014281002001,Fiber to the Premises,1000.0,1000.0
94501,060014281002002,Copper (DSL/VDSL),25.0,5.0
94501,060014281002002,Fiber to the Premises,1000.0,1000.0
94501,060014281002003,Copper (DSL/VDSL),50.0,10.0
94501,060014281002003,Fiber to the Premises,1000.0,1000.0
